layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.o_proj,768,1024,7.93514613038698,-0.0013127644196959665,24.328941583633423,5,256,8,3.788778781890869
model.layers.0.self_attn.o_proj,1024,1280,7.935175548646482,-0.0012833461601937657,24.20142412185669,5,256,8,3.743847370147705
model.layers.0.self_attn.o_proj,1280,1536,7.935635680455433,-0.0008232143512429957,24.388007879257202,5,256,8,3.7077438831329346
model.layers.0.self_attn.o_proj,1536,1792,7.935561842563322,-0.0008970522433537909,24.50492262840271,5,256,8,3.825284242630005
model.layers.0.self_attn.o_proj,1792,2048,7.935908459348494,-0.0005504354581820081,24.441609859466553,5,256,8,3.839911699295044
model.layers.0.self_attn.o_proj,2048,2304,7.935186035505565,-0.0012728593011113176,24.188119649887085,5,256,8,3.741264581680298
model.layers.0.self_attn.o_proj,2304,2560,7.935449915502405,-0.0010089793042711293,24.62155556678772,5,256,8,4.544893741607666
model.layers.0.self_attn.o_proj,2560,2816,7.936227222825274,-0.00023167198140150447,24.023096323013306,5,256,8,3.8179268836975098
model.layers.0.self_attn.o_proj,2816,3072,7.934485112813119,-0.001973781993556578,24.25965189933777,5,256,8,3.756488800048828
model.layers.0.self_attn.o_proj,3072,3328,7.935884927570541,-0.000573967236134898,24.36441445350647,5,256,8,3.848416566848755
model.layers.0.self_attn.o_proj,3328,3584,7.935782142885606,-0.0006767519210697515,24.3439998626709,5,256,8,3.7626936435699463
model.layers.0.self_attn.o_proj,3584,3840,7.934750122116004,-0.0017087726906721556,24.03772211074829,5,256,8,3.796445608139038
model.layers.0.self_attn.o_proj,3840,4096,7.935350444204876,-0.0011084506017997597,24.219223499298096,5,256,8,3.7477047443389893
model.layers.0.mlp.gate_proj,0,256,7.936295240055347,-0.00016365475132928964,24.274146795272827,5,256,8,6.792405605316162
model.layers.0.mlp.gate_proj,256,512,7.936046318375976,-0.0004125764306994739,24.128464460372925,5,256,8,6.854480266571045
model.layers.0.mlp.gate_proj,512,768,7.936224202913874,-0.000234691892801564,24.216959953308105,5,256,8,6.854197025299072
